"Tree-Addition","jobs","jobs:build:runs-on:ubuntu-latest strategy:matrix:python-version:3.7 pytorch-version:1.5.1 1.6.0 1.7.1 nightly steps:uses:actions/checkout@v2 name:Set up Python ${{ matrix.python-version }} uses:actions/setup-python@v2 with:python-version:${{ matrix.python-version }} name:Add conda to system path run:echo $CONDA/bin >> $GITHUB_PATH\n name:Install dependencies run:conda create -q -n test-environment python=${{ matrix.python-version }}\nsource activate test-environment\nif [[ \""${{ matrix.pytorch-version }}\"" == \""nightly\"" ]]; then\n  conda install pytorch cpuonly -c pytorch-nightly \nelse\n  conda install pytorch==${{ matrix.pytorch-version }} cpuonly -c pytorch\nfi\nconda install flake8\nif [ -f requirements.txt ]; then pip install -r requirements.txt; fi\npython setup.py install\n name:Test with pytest run:source activate test-environment\nconda install pytest\npytest test/\n name:Lint with flake8 run:source activate test-environment\nflake8 . --exit-zero","","1adrianb/face-alignment","651e83d533d0d5670600c6bb036d3a86a6c81d46"
"Tree-Addition","jobs","jobs:check:name:Check for broken links uses:ScholliYT/Broken-Links-Crawler-Action@v3 with:website_url:https://microsoft.github.io/SynapseML include_url_prefix:https://microsoft.github.io/SynapseML resolve_before_filtering:true verbose:true max_retry_time:30 max_retries:5 max_depth:-1","[check:name:Check]","Azure/mmlspark","1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e"
"Insert","jobs","jobs:add_pr_comment:runs-on:ubuntu-latest name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }}","[add_pr_comment:runs-on:ubuntu-latest]","Azure/mmlspark","6cec79b4ce542f444d9a22cfb5704c68cd52a3bc"
"Insert","jobs","add_pr_comment:runs-on:ubuntu-latest name:Azure OpenAI PR Comment steps:id:review uses:microsoft/gpt-review@v0.9.2 with:GITHUB_TOKEN:${{ secrets.GITHUB_TOKEN }} AZURE_OPENAI_API:${{ secrets.AZURE_OPENAI_API }} AZURE_OPENAI_API_KEY:${{ secrets.AZURE_OPENAI_API_KEY }}","[add_pr_comment:runs-on:ubuntu-latest]","Azure/mmlspark","6cec79b4ce542f444d9a22cfb5704c68cd52a3bc"
"Tree-Addition","subscription-id","subscription-id:${{ secrets.AZURE_SUBSCRIPTION_ID }}","","Azure/mmlspark","93829b1708e3480b041e7fa2729bc7f1a0608675"
"Tree-Addition","resolve_before_filtering","resolve_before_filtering:true","[resolve_before_filtering:true]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Update","resolve_before_filtering","resolve_before_filtering","[resolve_before_filtering]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Update","resolve_before_filtering","true","[true]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Update","check","check","[check]","Azure/mmlspark","1c4c5b388edfa9cdffbf2a91fcb893a82e02c561"
"Insert","branches","branches:master","[branches:master]","Azure/mmlspark","1f3a2bf9afcc45153b576eeb86c5d4ccaa92226e"
